id,front,left_side,right_side,type
0,/acne/0/front.jpg,/acne/0/left_side.jpg,/acne/0/right_side.jpg,acne
1,/acne/1/front.jpg,/acne/1/left_side.jpg,/acne/1/right_side.jpg,acne
2,/acne/2/front.jpg,/acne/2/left_side.jpg,/acne/2/right_side.jpg,acne
3,/acne/3/front.jpg,/acne/3/left_side.jpg,/acne/3/right_side.jpg,acne
4,/acne/4/front.jpg,/acne/4/left_side.jpg,/acne/4/right_side.jpg,acne
5,/acne/5/front.jpg,/acne/5/left_side.jpg,/acne/5/right_side.jpg,acne
6,/acne/6/front.jpg,/acne/6/left_side.jpg,/acne/6/right_side.jpg,acne
7,/acne/7/front.jpg,/acne/7/left_side.jpg,/acne/7/right_side.jpg,acne
8,/acne/8/front.jpg,/acne/8/left_side.jpg,/acne/8/right_side.jpg,acne
9,/acne/9/front.jpg,/acne/9/left_side.jpg,/acne/9/right_side.jpg,acne
10,/bags/10/front.jpeg,/bags/10/left_side.jpeg,/bags/10/right_side.jpeg,bags
11,/bags/11/front.jpg,/bags/11/left_side.jpg,/bags/11/right_side.jpg,bags
12,/bags/12/front.jpg,/bags/12/left_side.jpg,/bags/12/right_side.jpg,bags
13,/bags/13/front.jpg,/bags/13/left_side.jpg,/bags/13/right_side.jpg,bags
14,/bags/14/front.jpg,/bags/14/left_side.jpg,/bags/14/right_side.jpg,bags
15,/bags/15/front.jpg,/bags/15/left_side.jpg,/bags/15/right_side.jpg,bags
16,/bags/16/front.jpg,/bags/16/left_side.jpg,/bags/16/right_side.jpg,bags
17,/bags/17/front.jpg,/bags/17/left_side.jpg,/bags/17/right_side.jpg,bags
18,/bags/18/front.jpg,/bags/18/left_side.jpg,/bags/18/right_side.jpg,bags
19,/bags/19/front.jpg,/bags/19/left_side.jpg,/bags/19/right_side.jpg,bags
20,/redness/20/front.jpg,/redness/20/left_side.jpg,/redness/20/right_side.jpg,redness
21,/redness/21/front.jpg,/redness/21/left_side.jpg,/redness/21/right_side.jpg,redness
22,/redness/22/front.jpg,/redness/22/left_side.jpg,/redness/22/right_side.jpg,redness
23,/redness/23/front.jpg,/redness/23/left_side.jpg,/redness/23/right_side.jpg,redness
24,/redness/24/front.jpg,/redness/24/left_side.jpg,/redness/24/right_side.jpg,redness
25,/redness/25/front.jpg,/redness/25/left_side.jpg,/redness/25/right_side.jpg,redness
26,/redness/26/front.jpg,/redness/26/left_side.jpg,/redness/26/right_side.jpg,redness
27,/redness/27/front.jpg,/redness/27/left_side.jpg,/redness/27/right_side.jpg,redness
28,/redness/28/front.jpg,/redness/28/left_side.jpg,/redness/28/right_side.jpg,redness
29,/redness/29/front.jpg,/redness/29/left_side.jpg,/redness/29/right_side.jpg,redness
